open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-05-09 08:50:00,80418.71,80429.56,80418.7,80429.55,6.50931,2026-05-09 08:54:59.999,523493.22539490,853,4.99103000,401383.96921140,0
2026-05-09 08:55:00,80429.56,80429.56,80407.11,80407.12,7.41093,2026-05-09 08:59:59.999,595962.63114120,1666,3.24601000,261015.51640560,0
2026-05-09 09:00:00,80407.12,80415.83,80407.11,80413.86,12.35864,2026-05-09 09:04:59.999,993749.22029500,1411,8.78443000,706347.56048760,0
2026-05-09 09:05:00,80413.86,80413.86,80400.36,80400.37,11.93571,2026-05-09 09:09:59.999,959693.52744130,1418,6.54665000,526371.41718410,0
2026-05-09 09:10:00,80400.37,80400.37,80334.55,80342.35,20.08298,2026-05-09 09:14:59.999,1614009.28056270,2465,6.53252000,524896.85901940,0
2026-05-09 09:15:00,80342.36,80342.36,80230.55,80259.54,38.317,2026-05-09 09:19:59.999,3075337.42762080,5787,16.39430000,1315592.71593800,0
2026-05-09 09:20:00,80259.53,80308.44,80259.53,80308.43,10.60726,2026-05-09 09:24:59.999,851602.17272950,1989,9.22217000,740413.76627940,0
2026-05-09 09:25:00,80308.43,80308.44,80255.28,80255.29,8.73941,2026-05-09 09:29:59.999,701572.05841610,2055,1.20023000,96343.51101900,0
2026-05-09 09:30:00,80255.28,80268.74,80243.94,80251.11,18.1771,2026-05-09 09:34:59.999,1458839.79184430,2260,10.75244000,862927.33774440,0
2026-05-09 09:35:00,80251.11,80278.67,80251.11,80259.84,28.49149,2026-05-09 09:39:59.999,2286979.25045180,3361,6.44416000,517255.61739780,0
2026-05-09 09:40:00,80259.84,80259.84,80232.05,80243.28,17.80617,2026-05-09 09:44:59.999,1428833.71739610,2422,11.98715000,961879.68760320,0
2026-05-09 09:45:00,80243.28,80248.58,80226.64,80226.64,5.40665,2026-05-09 09:49:59.999,433842.88435740,2086,1.99015000,159700.11771750,0
2026-05-09 09:50:00,80226.65,80248.39,80217.0,80241.98,15.11839,2026-05-09 09:54:59.999,1213003.12268290,3276,5.15553000,413613.74879560,0
2026-05-09 09:55:00,80241.98,80242.54,80214.0,80242.53,24.37001,2026-05-09 09:59:59.999,1955139.56131590,3061,12.99930000,1042928.53510390,0
2026-05-09 10:00:00,80242.54,80254.43,80190.23,80254.0,36.14516,2026-05-09 10:04:59.999,2899524.27599740,4127,22.90591000,1837510.40751270,0
2026-05-09 10:05:00,80253.99,80253.99,80166.26,80178.22,24.59072,2026-05-09 10:09:59.999,1972641.62090440,3672,4.33560000,347668.29846670,0
2026-05-09 10:10:00,80178.21,80217.69,80178.21,80217.68,8.2844,2026-05-09 10:14:59.999,664417.73973780,1381,5.33359000,427738.70976690,0
2026-05-09 10:15:00,80217.69,80245.87,80206.09,80206.09,33.69489,2026-05-09 10:19:59.999,2703217.55581570,2743,4.78752000,384127.37852830,0
2026-05-09 10:20:00,80206.0,80220.48,80194.22,80217.47,34.31471,2026-05-09 10:24:59.999,2752194.77583050,2868,30.17415000,2420063.76846670,0
2026-05-09 10:25:00,80217.46,80250.0,80205.7,80205.7,28.8739,2026-05-09 10:29:59.999,2316642.03116760,2984,6.66179000,534521.22242350,0
2026-05-09 10:30:00,80205.03,80257.15,80205.03,80257.15,14.7986,2026-05-09 10:34:59.999,1187341.99760530,2038,12.26269000,983857.67307740,0
2026-05-09 10:35:00,80257.14,80323.57,80257.14,80323.56,19.87978,2026-05-09 10:39:59.999,1595993.87613200,2786,14.96298000,1201321.36998210,0
2026-05-09 10:40:00,80323.57,80346.94,80323.56,80329.99,11.83044,2026-05-09 10:44:59.999,950406.49334810,2677,5.54011000,445051.86511290,0
2026-05-09 10:45:00,80329.99,80330.0,80266.59,80266.59,8.17434,2026-05-09 10:49:59.999,656453.38174080,2217,2.23539000,179526.31596600,0
2026-05-09 10:50:00,80266.6,80274.28,80265.34,80274.27,10.40351,2026-05-09 10:54:59.999,835055.98974480,1206,8.34860000,670109.99179160,0
2026-05-09 10:55:00,80274.28,80277.34,80264.01,80264.02,3.5503,2026-05-09 10:59:59.999,284988.66051360,1310,1.30704000,104917.09583080,0
2026-05-09 11:00:00,80264.01,80293.65,80256.95,80289.05,12.16889,2026-05-09 11:04:59.999,976844.08884910,2334,7.47682000,600179.27110350,0
